timestamp,elapsed_seconds,io2,io3, resistance,eda,ir,bpm,accel_x,accel_y,accel_z
1752796502.659,1523.854,0.32540,1.86020,221090.00,4.52304,114256,42,-659.0000,-91.0000,-4034.0000
1752796502.926,1524.121,0.32662,1.86020,221400.00,4.51671,113790,42,-667.0000,-93.0000,-4037.0000
1752796503.040,1524.235,0.32723,1.86081,222328.00,4.49785,113848,42,-667.0000,-85.0000,-4041.0000
1752796503.202,1524.397,0.32784,1.85958,221178.00,4.52124,113892,42,-675.0000,-84.0000,-4043.0000
1752796503.330,1524.525,0.32662,1.85958,222905.00,4.48621,114019,42,-674.0000,-85.0000,-4036.0000
1752796503.423,1524.618,0.32662,1.85897,222062.00,4.50323,114109,42,-675.0000,-84.0000,-4030.0000
1752796503.574,1524.769,0.32845,1.85836,223304.00,4.49338,114157,42,-670.0000,-101.0000,-4027.0000
1752796503.646,1524.841,0.32784,1.85836,223304.00,4.47820,114250,42,-670.0000,-101.0000,-4027.0000
1752796503.943,1525.138,0.32906,1.85714,223304.00,4.47999,114059,42,-662.0000,-100.0000,-4049.0000
1752796504.023,1525.218,0.33028,1.85775,223304.00,4.47820,113871,42,-674.0000,-106.0000,-4046.0000
1752796504.180,1525.375,0.32906,1.85775,224060.00,4.46308,113902,42,-667.0000,-81.0000,-4037.0000
1752796504.369,1525.564,0.33150,1.85775,224060.00,4.46308,114018,42,-672.0000,-64.0000,-4028.0000
1752796504.479,1525.674,0.33089,1.85592,223482.00,4.44543,114063,42,-673.0000,-83.0000,-4030.0000
1752796504.640,1525.835,0.33028,1.85592,223482.00,4.47462,114161,42,-670.0000,-64.0000,-4039.0000
1752796504.801,1525.996,0.33028,1.85592,225530.00,4.46129,114254,42,-667.0000,-87.0000,-4037.0000
1752796504.875,1526.070,0.33089,1.85653,225530.00,4.43399,114332,42,-676.0000,-73.0000,-4033.0000
1752796504.999,1526.194,0.33150,1.85775,225130.00,4.44188,113835,42,-664.0000,-76.0000,-4040.0000
1752796505.112,1526.307,0.33089,1.85592,225400.00,4.43654,113849,42,-670.0000,-87.0000,-4036.0000
1752796505.248,1526.443,0.33272,1.85531,226693.00,4.41124,113878,42,-665.0000,-79.0000,-4040.0000
1752796505.415,1526.610,0.33150,1.85531,226693.00,4.41124,113943,42,-657.0000,-94.0000,-4033.0000
1752796505.565,1526.760,0.33211,1.85653,225310.00,4.43832,113995,42,-669.0000,-96.0000,-4027.0000
1752796505.673,1526.868,0.33211,1.85531,226292.00,4.41906,114048,42,-663.0000,-90.0000,-4041.0000
1752796505.783,1526.978,0.33150,1.85470,226784.00,4.40948,114167,42,-678.0000,-86.0000,-4039.0000
1752796505.917,1527.112,0.33272,1.85287,226693.00,4.41124,114245,42,-664.0000,-75.0000,-4045.0000
1752796506.051,1527.246,0.33272,1.85348,228353.00,4.37918,114161,42,-671.0000,-93.0000,-4041.0000
1752796506.189,1527.384,0.33394,1.85409,227367.00,4.39816,113890,42,-686.0000,-77.0000,-4038.0000
1752796506.332,1527.527,0.33394,1.85348,228847.00,4.36973,113963,42,-673.0000,-84.0000,-4037.0000
1752796506.459,1527.654,0.33394,1.85287,228353.00,4.37918,113922,42,-684.0000,-77.0000,-4037.0000
1752796506.650,1527.845,0.33333,1.85348,229710.00,4.31779,114008,42,-667.0000,-98.0000,-4033.0000
1752796506.803,1527.998,0.33455,1.85165,229710.00,4.35331,114051,42,-665.0000,-89.0000,-4046.0000
1752796506.927,1528.122,0.33394,1.85287,228135.00,4.38337,114186,42,-666.0000,-95.0000,-4042.0000
1752796507.060,1528.255,0.33578,1.85165,229525.00,4.35682,114228,42,-666.0000,-82.0000,-4035.0000
1752796507.175,1528.370,0.33578,1.85165,230112.00,4.34570,113863,42,-671.0000,-70.0000,-4043.0000
1752796507.367,1528.562,0.33639,1.85165,228720.00,4.37214,113864,42,-665.0000,-92.0000,-4045.0000
1752796507.543,1528.738,0.33578,1.85043,230391.00,4.34045,113898,62,-671.0000,-91.0000,-4042.0000
1752796507.664,1528.859,0.33578,1.85104,230701.00,4.33461,113925,62,-675.0000,-92.0000,-4050.0000
1752796507.802,1528.997,0.33578,1.85104,230173.00,4.34455,113976,62,-671.0000,-81.0000,-4049.0000
1752796507.949,1529.144,0.33639,1.85104,232067.00,4.31834,114053,62,-671.0000,-78.0000,-4037.0000
1752796508.069,1529.264,0.33761,1.85104,232067.00,4.30908,114159,62,-675.0000,-83.0000,-4033.0000
1752796508.186,1529.381,0.33639,1.84982,231477.00,4.32008,114233,62,-687.0000,-81.0000,-4031.0000
1752796508.317,1529.512,0.33700,1.84860,230980.00,4.32937,113821,62,-680.0000,-73.0000,-4035.0000
1752796508.425,1529.620,0.33700,1.84799,229895.00,4.34981,113817,62,-672.0000,-104.0000,-4044.0000
1752796508.571,1529.766,0.33761,1.84982,232377.00,4.30334,113829,51,-667.0000,-89.0000,-4048.0000
1752796508.676,1529.871,0.34005,1.84860,231477.00,4.32008,113891,51,-667.0000,-78.0000,-4037.0000
1752796508.784,1529.979,0.33761,1.84860,233063.00,4.29067,113911,51,-672.0000,-83.0000,-4030.0000
1752796508.926,1530.121,0.33822,1.84737,232942.00,4.29291,114013,51,-671.0000,-89.0000,-4034.0000
1752796509.051,1530.246,0.33883,1.84860,235251.00,4.25077,114061,51,-663.0000,-90.0000,-4051.0000
1752796509.200,1530.395,0.33883,1.84676,233441.00,4.28373,114132,51,-661.0000,-86.0000,-4039.0000
1752796509.322,1530.517,0.33822,1.84737,233441.00,4.28373,114225,51,-664.0000,-82.0000,-4033.0000
1752796509.490,1530.685,0.34066,1.84676,234345.00,4.26939,113815,51,-655.0000,-91.0000,-4037.0000
1752796509.586,1530.781,0.33944,1.84676,234345.00,4.26720,113802,51,-677.0000,-90.0000,-4046.0000
1752796509.728,1530.923,0.34005,1.84615,234345.00,4.26720,113788,51,-681.0000,-95.0000,-4026.0000
1752796509.872,1531.067,0.34188,1.85043,234535.00,4.26374,113855,51,-677.0000,-80.0000,-4031.0000
1752796509.996,1531.191,0.33944,1.84493,235036.00,4.25466,113918,51,-663.0000,-90.0000,-4050.0000
1752796510.128,1531.323,0.34127,1.84493,235847.00,4.24003,113931,51,-669.0000,-97.0000,-4050.0000
1752796510.223,1531.418,0.34249,1.84493,236134.00,4.23487,114010,51,-662.0000,-97.0000,-4029.0000
1752796510.321,1531.516,0.34188,1.84554,237043.00,4.21864,114106,51,-661.0000,-80.0000,-4065.0000
1752796510.495,1531.690,0.34188,1.84432,235728.00,4.24216,114085,51,-673.0000,-77.0000,-4037.0000
1752796510.606,1531.801,0.34310,1.84554,237235.00,4.21522,113775,51,-671.0000,-76.0000,-4035.0000
1752796510.742,1531.937,0.34310,1.84371,235920.00,4.23872,113779,51,-659.0000,-80.0000,-4041.0000
1752796510.898,1532.093,0.34371,1.84310,237428.00,4.21179,113823,51,-674.0000,-91.0000,-4037.0000
1752796511.015,1532.210,0.34310,1.84371,236134.00,4.23487,113896,51,-668.0000,-83.0000,-4034.0000
1752796511.136,1532.331,0.34371,1.84371,237428.00,4.21179,113929,51,-676.0000,-82.0000,-4032.0000
1752796511.251,1532.446,0.34371,1.84371,237428.00,4.21179,113975,51,-676.0000,-86.0000,-4049.0000
1752796511.452,1532.647,0.34371,1.84249,238843.00,4.18684,114089,51,-657.0000,-86.0000,-4042.0000
1752796511.594,1532.789,0.34493,1.84310,237118.00,4.21730,113717,51,-666.0000,-83.0000,-4035.0000
1752796511.696,1532.891,0.34310,1.84249,237718.00,4.20665,113706,51,-675.0000,-82.0000,-4033.0000
1752796511.853,1533.048,0.34310,1.84493,236518.00,4.22799,113762,51,-662.0000,-95.0000,-4050.0000
1752796511.963,1533.158,0.34310,1.84310,239233.00,4.18002,113763,51,-688.0000,-87.0000,-4049.0000
1752796512.148,1533.343,0.34371,1.84310,237835.00,4.20458,113795,51,-669.0000,-90.0000,-4052.0000
1752796512.381,1533.576,0.34249,1.84310,238533.00,4.19228,113867,51,-673.0000,-77.0000,-4038.0000
1752796512.501,1533.696,0.34310,1.84371,237835.00,4.20458,113968,51,-673.0000,-70.0000,-4030.0000
1752796512.630,1533.825,0.34371,1.84310,237428.00,4.21179,113665,51,-675.0000,-91.0000,-4047.0000
1752796512.819,1534.014,0.34371,1.84188,238029.00,4.20116,113592,51,-680.0000,-82.0000,-4045.0000
1752796512.949,1534.144,0.34493,1.84188,238126.00,4.19945,113617,51,-672.0000,-83.0000,-4040.0000
1752796513.084,1534.279,0.34432,1.84127,239233.00,4.18002,113660,51,-669.0000,-79.0000,-4046.0000
1752796513.276,1534.471,0.34493,1.84066,239641.00,4.17291,113691,51,-668.0000,-73.0000,-4045.0000
1752796513.358,1534.553,0.34615,1.84005,239233.00,4.18002,113748,51,-668.0000,-73.0000,-4045.0000
1752796513.485,1534.680,0.34493,1.84066,240948.00,4.15027,113783,51,-683.0000,-78.0000,-4041.0000
1752796513.589,1534.784,0.34737,1.83944,240244.00,4.16242,113829,51,-671.0000,-94.0000,-4036.0000
1752796513.735,1534.930,0.34554,1.84005,241243.00,4.13816,113583,51,-676.0000,-97.0000,-4047.0000
1752796513.814,1535.009,0.34737,1.83944,241243.00,4.14518,113460,51,-676.0000,-97.0000,-4047.0000
1752796513.938,1535.133,0.34737,1.83883,241653.00,4.13816,113488,51,-674.0000,-89.0000,-4050.0000
1752796514.126,1535.321,0.34799,1.83944,241765.00,4.13624,113571,51,-681.0000,-79.0000,-4033.0000
1752796514.293,1535.488,0.34615,1.83822,242669.00,4.12082,113572,51,-676.0000,-74.0000,-4029.0000
1752796514.482,1535.677,0.34676,1.83883,242769.00,4.11914,113601,51,-671.0000,-75.0000,-4049.0000
1752796514.634,1535.829,0.34921,1.83761,242459.00,4.12441,113690,51,-668.0000,-78.0000,-4046.0000
1752796514.728,1535.923,0.34860,1.83700,242968.00,4.11576,113744,51,-675.0000,-101.0000,-4041.0000
1752796514.837,1536.032,0.34921,1.83700,243988.00,4.09855,113473,51,-661.0000,-83.0000,-4032.0000
1752796514.952,1536.147,0.34737,1.83700,243688.00,4.09855,113445,51,-658.0000,-78.0000,-4045.0000
1752796515.050,1536.245,0.34921,1.83761,243688.00,4.10360,113445,51,-669.0000,-89.0000,-4037.0000
1752796515.161,1536.356,0.34737,1.83639,243068.00,4.10714,113459,51,-664.0000,-86.0000,-4053.0000
1752796515.250,1536.445,0.34921,1.83761,243068.00,4.11407,113470,51,-674.0000,-96.0000,-4042.0000
1752796515.400,1536.595,0.34921,1.83700,243988.00,4.10714,113520,51,-665.0000,-84.0000,-4035.0000
1752796515.497,1536.692,0.34921,1.83700,243988.00,4.09855,113573,51,-669.0000,-89.0000,-4039.0000
1752796515.624,1536.819,0.34921,1.83578,243988.00,4.09855,113616,51,-661.0000,-85.0000,-4045.0000
1752796515.748,1536.943,0.34982,1.83700,245010.00,4.08146,113639,51,-666.0000,-83.0000,-4034.0000
1752796515.882,1537.077,0.35104,1.83394,245211.00,4.07811,113279,51,-668.0000,-84.0000,-4037.0000
1752796516.009,1537.204,0.35104,1.83578,246337.00,4.05947,113248,51,-668.0000,-93.0000,-4054.0000
1752796516.143,1537.338,0.35043,1.83516,246236.00,4.06114,113239,51,-683.0000,-82.0000,-4048.0000
1752796516.276,1537.471,0.35165,1.83394,246850.00,4.05103,113265,51,-666.0000,-71.0000,-4053.0000
1752796516.402,1537.597,0.35104,1.83333,246027.00,4.06459,113300,51,-670.0000,-80.0000,-4045.0000
1752796516.505,1537.700,0.35104,1.83455,246128.00,4.06292,113354,51,-665.0000,-77.0000,-4048.0000
1752796516.656,1537.851,0.35348,1.83639,248184.00,4.02925,113385,51,-666.0000,-81.0000,-4034.0000
1752796516.749,1537.944,0.35165,1.83455,248494.00,4.02423,113417,51,-665.0000,-80.0000,-4035.0000
1752796516.890,1538.085,0.35287,1.83394,247670.00,4.05780,113331,51,-666.0000,-90.0000,-4035.0000
1752796516.994,1538.189,0.35226,1.83394,247670.00,4.03763,113197,51,-670.0000,-88.0000,-4044.0000
1752796517.159,1538.354,0.35409,1.83333,248905.00,4.01759,113354,51,-667.0000,-87.0000,-4030.0000
1752796517.305,1538.500,0.35348,1.83211,247772.00,4.03596,113385,51,-673.0000,-86.0000,-4031.0000
1752796517.404,1538.599,0.35348,1.83333,247874.00,4.03430,113417,51,-677.0000,-90.0000,-4039.0000
1752796517.532,1538.727,0.35470,1.83211,247772.00,4.03596,113268,51,-677.0000,-86.0000,-4028.0000
1752796517.646,1538.841,0.35531,1.83211,249008.00,4.01593,113308,51,-675.0000,-85.0000,-4050.0000
1752796517.798,1538.993,0.35592,1.83211,249111.00,4.01427,113335,51,-664.0000,-82.0000,-4042.0000
1752796517.927,1539.122,0.35287,1.83150,249008.00,4.01593,113440,51,-672.0000,-73.0000,-4033.0000
1752796518.087,1539.282,0.35653,1.83150,249421.00,4.01259,113145,51,-685.0000,-86.0000,-4036.0000
1752796518.217,1539.412,0.35531,1.83150,249731.00,4.00928,113200,51,-673.0000,-93.0000,-4034.0000
1752796518.325,1539.520,0.35592,1.83028,249731.00,4.00431,113160,51,-656.0000,-94.0000,-4039.0000
1752796518.424,1539.619,0.35409,1.83089,249731.00,4.00431,113199,51,-673.0000,-73.0000,-4026.0000
1752796518.591,1539.786,0.35531,1.83089,249937.00,4.00099,113277,51,-660.0000,-79.0000,-4047.0000
1752796518.791,1539.986,0.35714,1.82967,250144.00,3.99768,113308,51,-675.0000,-80.0000,-4032.0000
1752796518.918,1540.113,0.35653,1.83028,251596.00,3.97461,113046,51,-660.0000,-88.0000,-4052.0000
