timestamp,elapsed_seconds,io2,io3, resistance,eda,ir,bpm,accel_x,accel_y,accel_z
1752795515.505,536.700,0.24603,1.94200,153951.00,6.49554,123874,42,-858.0000,17.0000,-4015.0000
1752795515.627,536.822,0.24359,1.94444,148548.00,6.63251,124213,42,-847.0000,50.0000,-4009.0000
1752795515.755,536.950,0.23687,1.95116,148548.00,6.73179,124078,42,-850.0000,27.0000,-4010.0000
1752795515.886,537.081,0.23382,1.95360,143070.00,6.98956,123716,42,-849.0000,33.0000,-4013.0000
1752795516.063,537.258,0.23382,1.95421,143273.00,6.97968,123821,42,-858.0000,31.0000,-4001.0000
1752795516.176,537.371,0.23199,1.95604,141956.00,7.04443,123859,42,-860.0000,41.0000,-4003.0000
1752795516.350,537.545,0.23138,1.95726,140594.00,7.08730,123785,42,-851.0000,32.0000,-4010.0000
1752795516.473,537.668,0.22955,1.95910,140594.00,7.11267,123725,42,-853.0000,39.0000,-4007.0000
1752795516.632,537.827,0.22650,1.96276,139287.00,7.17942,123730,42,-850.0000,38.0000,-4004.0000
1752795516.764,537.959,0.22100,1.96764,136191.00,7.34262,123484,42,-853.0000,44.0000,-4020.0000
1752795516.858,538.053,0.21978,1.96825,132680.00,7.53688,123441,42,-855.0000,39.0000,-4012.0000
1752795517.052,538.247,0.22833,1.95971,132541.00,7.54478,123355,42,-867.0000,44.0000,-4011.0000
1752795517.178,538.373,0.22589,1.96276,137341.00,7.28110,124777,42,-852.0000,41.0000,-4010.0000
1752795517.289,538.484,0.21734,1.97192,130779.00,7.64643,123811,42,-854.0000,27.0000,-3994.0000
1752795517.440,538.635,0.21306,1.97680,129330.00,7.73215,123980,42,-848.0000,23.0000,-4009.0000
1752795517.570,538.765,0.21184,1.97680,126461.00,7.90755,123929,42,-860.0000,30.0000,-4011.0000
1752795517.735,538.930,0.21123,1.97680,126461.00,7.90755,123980,42,-848.0000,34.0000,-4011.0000
1752795517.843,539.038,0.21245,1.97680,126505.00,7.90481,124061,42,-850.0000,30.0000,-3989.0000
1752795518.029,539.224,0.21123,1.97802,126417.00,7.91028,123767,42,-865.0000,31.0000,-3991.0000
1752795518.191,539.386,0.21062,1.97802,125595.00,7.96204,123641,42,-855.0000,36.0000,-4002.0000
1752795518.315,539.510,0.20818,1.98046,124775.00,8.01438,123541,42,-855.0000,36.0000,-4002.0000
1752795518.461,539.656,0.20757,1.98046,123871.00,8.07286,123582,42,-853.0000,27.0000,-4015.0000
1752795518.574,539.769,0.20879,1.98046,122711.00,8.14919,123670,42,-848.0000,41.0000,-4013.0000
1752795518.705,539.900,0.20757,1.98046,123914.00,8.07008,123753,42,-840.0000,38.0000,-4002.0000
1752795518.895,540.090,0.20635,1.98107,123055.00,8.12639,123489,42,-854.0000,24.0000,-3997.0000
1752795519.087,540.282,0.20513,1.98413,123357.00,8.10652,123581,42,-858.0000,41.0000,-3999.0000
1752795519.212,540.407,0.20391,1.98413,122115.00,8.18897,123543,42,-862.0000,36.0000,-4014.0000
1752795519.333,540.528,0.20269,1.98657,120919.00,8.26999,123633,42,-854.0000,43.0000,-4007.0000
1752795519.517,540.712,0.19902,1.98962,118374.00,8.44778,123658,42,-830.0000,52.0000,-4012.0000
1752795519.594,540.789,0.19597,1.99389,116230.00,8.60363,123701,42,-838.0000,37.0000,-4018.0000
